date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2014-09-19,93.89,99.7,89.95,92.7,271879400,89.1108440785615,94.6251054918797,85.3713965796848,87.9814170420988,271879400,0.0,1.0
2014-09-22,89.89,92.95,89.5,92.7,66332498,85.3144506786867,88.2186916295909,84.9443023221989,87.9814170420988,66332498,0.0,1.0
2014-09-23,87.17,90.48,86.62,88.94,38861975,82.7329031667718,85.8744187051683,82.2108990742891,84.4128072462164,38861975,0.0,1.0
2014-09-24,90.57,90.57,87.22,88.47,31864232,85.9598375566654,85.9598375566654,82.7803580842703,83.9667310217312,31864232,0.0,1.0
2014-09-25,88.92,91.5,88.5,91.09,28526179,84.3938252792171,86.8424990221363,83.9952039722302,86.4533686986492,28526179,0.0,1.0
2014-09-26,90.46,90.46,88.66,89.73,18339716,85.8554367381689,85.8554367381689,84.1470597082252,85.1625949426917,18339716,0.0,1.0
2014-09-29,88.75,89.7,88.02,89.62,25279264,84.2324785597224,85.1341219921927,83.5396367642452,85.0581941241952,25279264,0.0,1.0
2014-09-30,88.85,90.88,88.46,89.0,24408983,84.3273883947193,86.2540580451557,83.9572400382315,84.4697531472146,24408983,0.0,1.0
2014-10-01,86.1,88.94,86.04,88.7,24012926,81.7173679323053,84.4128072462164,81.6604220313072,84.185023642224,24012926,0.0,1.0
2014-10-02,87.06,88.2,85.611,86.27,21469688,82.6285023482753,83.7104744672396,81.2532588391706,81.8787146518,21469688,0.0,1.0
2014-10-03,88.1,89.94,87.65,88.1,18472777,83.6155646322427,85.3619055961852,83.1884703747568,83.6155646322427,18472777,0.0,1.0
2014-10-06,88.31,89.65,88.06,89.15,9276113,83.8148752857362,85.0866670746942,83.577600698244,84.6121178997099,9276113,0.0,1.0
2014-10-07,87.67,89.7,87.06,87.95,12791745,83.2074523417562,85.1341219921927,82.6285023482753,83.4731998797474,12791745,0.0,1.0
2014-10-08,88.3,88.5,87.06,88.0,10255103,83.8053843022365,83.9952039722302,82.6285023482753,83.5206547972459,10255103,0.0,1.0
2014-10-09,88.79,90.35,88.0,88.51,21492810,84.2704424937211,85.7510359196723,83.5206547972459,84.0046949557299,21492810,0.0,1.0
2014-10-10,85.88,88.74,85.24,88.25,15424490,81.5085662953122,84.2229875762227,80.9011433513322,83.757929384738,15424490,0.0,1.0
2014-10-13,85.12,86.89,84.92,86.85,14845004,80.787251549336,82.4671556287806,80.5974318793423,82.4291916947818,14845004,0.0,1.0
2014-10-14,84.95,85.88,83.22,85.81,15567286,80.6259048298413,81.5085662953122,78.9839646843955,81.4421294108144,15567286,0.0,1.0
2014-10-15,85.6,86.49,82.81,84.04,16824274,81.242818757321,82.0875162887931,78.5948343609083,79.7622253313698,16824274,0.0,1.0
2014-10-16,88.85,89.175,84.015,84.98,15216307,84.3273883947193,84.6358453584591,79.7384978726206,80.6543777803404,15216307,0.0,1.0
2014-10-17,87.91,90.9,87.6701,90.4,17360731,83.4352359457487,86.2730400121551,83.2075472515912,85.7984908371708,17360731,0.0,1.0
2014-10-20,88.26,89.5,87.86,88.0,9861999,83.7674203682377,84.9443023221989,83.3877810282502,83.5206547972459,9861999,0.0,1.0
2014-10-21,90.9,92.5,88.5,89.1,23207990,86.2730400121551,87.791597372105,83.9952039722302,84.5646629822114,23207990,0.0,1.0
2014-10-22,91.63,93.5,91.01,92.25,20331868,86.9658818076323,88.7406957220737,86.3774408306517,87.5543227846129,20331868,0.0,1.0
2014-10-23,94.45,94.7,92.82,92.92,20576847,89.642339154544,89.8796137420362,88.095308844095,88.1902186790919,20576847,0.0,1.0
2014-10-24,95.76,98.0,94.78,95.07,32112882,90.885657993003,93.0116382969329,89.9555416100337,90.2307801315246,32112882,0.0,1.0
2014-10-27,97.79,98.85,96.3,97.0,28236381,92.8123276434395,93.8183718944063,91.3981711019861,92.0625399469642,28236381,0.0,1.0
2014-10-28,99.68,100.67,98.61,99.84,32127642,94.6061235248803,95.5457308913493,93.5905882904138,94.7579792608753,32127642,0.0,1.0
2014-10-29,98.31,100.0,96.82,99.88,28655356,93.3058587854232,94.9098349968703,91.8917022439698,94.7959431948741,28655356,0.0,1.0
